,linkID,interval0_COST,interval1_COST,interval2_COST,interval3_COST,interval4_COST,interval5_COST,interval6_COST,interval7_COST,interval8_COST,interval9_COST
16,16,55.61866774691607,55.61866774691607,55.61866774691607,55.61866774691607,55.61866774691607,55.61866774691607,55.61866774691607,55.61866774691607,55.61866774691607,55.61866774691607
17,17,39.588090393113625,39.588090393113625,39.588090393113625,39.588090393113625,39.588090393113625,39.588090393113625,39.588090393113625,39.588090393113625,39.588090393113625,39.588090393113625
18,18,47.50753862524076,47.50753862524076,47.50753862524076,47.50753862524076,47.50753862524076,47.50753862524076,47.50753862524076,47.50753862524076,47.50753862524076,47.50753862524076
19,19,72.61280745779412,72.61280745779412,72.61280745779412,72.61280745779412,72.61280745779412,72.61280745779412,72.61280745779412,72.61280745779412,72.61280745779412,72.61280745779412
20,20,48.67641074929624,48.67641074929624,48.67641074929624,48.67641074929624,48.67641074929624,48.67641074929624,48.67641074929624,48.67641074929624,48.67641074929624,48.67641074929624
21,21,53.95618406168468,53.95618406168468,53.95618406168468,53.95618406168468,53.95618406168468,53.95618406168468,53.95618406168468,53.95618406168468,53.95618406168468,53.95618406168468
22,22,58.56407480092487,58.56407480092487,58.56407480092487,58.56407480092487,58.56407480092487,58.56407480092487,58.56407480092487,58.56407480092487,58.56407480092487,58.56407480092487
23,23,79.26500282452335,79.26500282452335,79.26500282452335,79.26500282452335,79.26500282452335,79.26500282452335,79.26500282452335,79.26500282452335,79.26500282452335,79.26500282452335
24,24,85.01527588867957,85.01527588867957,85.01527588867957,85.01527588867957,85.01527588867957,85.01527588867957,85.01527588867957,85.01527588867957,85.01527588867957,85.01527588867957
25,25,90.59369468289454,90.59369468289454,90.59369468289454,90.59369468289454,90.59369468289454,90.59369468289454,90.59369468289454,90.59369468289454,90.59369468289454,90.59369468289454
26,26,54.12273437889016,54.12273437889016,54.12273437889016,54.12273437889016,54.12273437889016,54.12273437889016,54.12273437889016,54.12273437889016,54.12273437889016,54.12273437889016
27,27,7.216436222672629,7.846131053026703,7.412369147075677,7.48135406832327,8.145696713774047,7.517360248293993,8.059317557026777,6.442726243904011,7.015384455578831,7.095842122797803
28,28,29.391217868291335,29.391217868291335,29.391217868291335,29.391217868291335,29.391217868291335,29.391217868291335,29.391217868291335,29.391217868291335,29.391217868291335,29.391217868291335
29,29,13.198387589705414,13.198387589705414,13.198387589705414,13.198387589705414,13.198387589705414,13.198387589705414,13.198387589705414,13.198387589705414,13.198387589705414,13.198387589705414
30,30,13.91952264719945,13.91952264719945,13.91952264719945,13.91952264719945,13.91952264719945,13.91952264719945,13.91952264719945,13.91952264719945,13.91952264719945,13.91952264719945
31,31,36.49451067054768,36.49451067054768,36.49451067054768,36.49451067054768,36.49451067054768,36.49451067054768,36.49451067054768,36.49451067054768,36.49451067054768,36.49451067054768
